income,spending,age,education,recency,complain,wines,fruits,meat,sweets,gold,fish,deals,web_p,catalog_p,store_p,web_visit,marital_Alone,education_2n Cycle,education_Graduation,education_Master,education_PhD,child_Yes
58138.0,1617,63,Graduation,58,0,635,88,546,88,88,172,3,8,10,4,7,1,0,1,0,0,0
46344.0,27,66,Graduation,38,0,11,1,6,1,6,2,2,1,1,2,5,1,0,1,0,0,1
71613.0,776,55,Graduation,26,0,426,49,127,21,42,111,1,8,2,10,4,0,0,1,0,0,0
26646.0,53,36,Graduation,26,0,11,4,20,3,5,10,2,2,0,4,6,0,0,1,0,0,1
58293.0,422,39,PhD,94,0,173,43,118,27,15,46,5,5,3,6,5,0,0,0,0,1,1
62513.0,716,53,Master,16,0,520,42,98,42,14,0,2,6,4,10,6,0,0,0,1,0,1
55635.0,590,49,Graduation,34,0,235,65,164,49,27,50,4,7,3,7,6,1,0,1,0,0,1
33454.0,169,35,PhD,32,0,76,10,56,1,23,3,2,4,0,4,8,0,0,0,0,1,1
30351.0,46,46,PhD,19,0,14,0,24,3,2,3,1,3,0,2,9,0,0,0,0,1,1
28623.2,19,37,Graduation,11,0,5,5,6,2,1,0,1,1,0,2,7,0,0,1,0,0,1
63033.0,1102,61,Graduation,82,0,194,61,480,112,30,225,1,3,4,8,2,1,0,1,0,0,0
59354.0,310,68,Master,53,0,233,2,53,5,14,3,3,6,1,5,6,1,0,0,1,0,1
82800.0,1315,74,PhD,23,0,1006,22,115,68,45,59,1,7,6,12,3,1,0,0,0,1,0
41850.0,96,40,Graduation,51,0,53,5,19,13,4,2,3,3,0,3,8,0,0,1,0,0,1
37760.0,317,74,Graduation,20,0,84,5,38,12,28,150,2,4,1,6,7,0,0,1,0,0,0
76995.0,1782,71,Master,91,0,1012,80,498,16,176,0,2,11,4,9,5,0,0,0,1,0,1
33812.0,133,35,2n Cycle,86,0,4,17,19,24,39,30,2,2,1,3,6,1,1,0,0,0,1
37040.0,316,38,Graduation,41,0,86,2,73,38,48,69,1,4,2,5,8,0,0,1,0,0,0
58607.0,972,71,PhD,63,0,867,0,86,0,19,0,3,2,3,9,8,0,0,0,0,1,1
65324.0,544,66,PhD,0,0,384,0,102,32,5,21,3,6,2,9,4,0,0,0,0,1,1
40689.0,444,69,Graduation,69,0,270,3,27,6,99,39,7,7,1,5,8,0,0,1,0,0,1
53359.0,257,44,Graduation,4,0,173,4,30,6,41,3,4,5,1,4,7,0,0,1,0,0,1
52826.8,637,34,Graduation,19,0,5,1,3,263,362,3,0,27,0,0,1,1,0,1,0,0,1
38360.0,131,31,Graduation,26,0,36,2,42,21,10,20,2,2,1,4,3,0,0,1,0,0,1
38620.0,318,57,Master,56,0,112,17,44,22,89,34,1,2,5,3,3,0,0,0,1,0,0
40548.0,120,50,Graduation,31,0,110,0,5,0,3,2,2,2,1,4,5,0,0,1,0,0,1
46610.0,302,68,PhD,8,0,96,12,96,22,43,33,6,4,1,6,6,1,0,0,0,1,1
68657.0,1196,74,Master,4,0,482,34,471,68,22,119,1,3,5,9,7,0,0,0,1,0,0
49389.0,65,69,Master,55,0,40,0,19,1,3,2,1,2,0,3,7,1,0,0,1,0,1
67353.0,913,50,PhD,37,0,702,17,151,8,35,0,5,5,6,12,2,0,0,0,0,1,1
23718.0,81,44,2n Cycle,76,0,6,3,14,7,36,15,3,3,1,2,7,0,1,0,0,0,1
42429.0,67,47,Graduation,99,0,55,0,6,0,4,2,2,1,1,3,5,1,0,1,0,0,1
48948.0,902,77,PhD,53,0,437,8,206,49,42,160,2,7,10,5,6,1,0,0,0,1,0
80011.0,1395,40,Graduation,3,0,421,76,536,178,102,82,2,8,6,5,4,0,0,1,0,0,1
20559.0,53,35,Master,88,0,13,1,29,0,7,3,2,2,0,3,8,0,0,0,1,0,1
21994.0,22,63,Graduation,4,0,9,0,6,1,3,3,1,0,0,3,5,0,0,1,0,0,1
50420.2,186,61,PhD,80,0,81,11,50,2,39,3,1,1,3,4,2,1,0,0,0,1,0
79941.0,984,44,Graduation,72,0,123,164,266,30,174,227,1,2,4,9,1,1,0,1,0,0,0
41728.0,55,52,Graduation,92,0,13,6,15,5,13,3,1,2,0,2,10,0,0,1,0,0,1
48692.6,124,69,Graduation,96,0,48,5,48,10,7,6,3,2,1,4,6,1,0,1,0,0,1
72550.0,1319,66,PhD,39,0,826,50,317,38,38,50,9,5,2,12,8,0,0,0,0,1,1
65486.0,507,63,Graduation,29,0,245,19,125,67,14,37,1,4,2,10,2,1,0,1,0,0,1
79143.0,1693,56,Master,2,0,650,37,780,167,32,27,1,6,9,13,3,0,0,0,1,0,0
35790.0,72,43,Graduation,54,0,12,6,20,1,3,30,2,2,0,3,7,1,0,1,0,0,1
